username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
ssskky,This cat definitely asked me I wanted to buy her private Snapchat with an amazon wishlist link in the replies https://twitter.com/scottishfoids/status/967362474314993665 …,2018-02-25 15:50:42,[''],[''],,4,16,967909752708763648,https://twitter.com/ssskky/status/967909752708763648
ElKiwika,On snapchat where you deleted me because you didnt want to face your problems,2018-02-25 15:50:41,[''],[''],,0,0,967909747482652673,https://twitter.com/ElKiwika/status/967909747482652673
Cowabunga_Cole,"@ Snapchat y’all big time losers, adding stories to my feed. Smh y’all know damn well I don’t follow nascar",2018-02-25 15:50:39,[u'Snapchat'],[''],,0,0,967909741681889280,https://twitter.com/Cowabunga_Cole/status/967909741681889280
yungjaqk,People on my Snapchat enjoyed this so here ya go twitter pic.twitter.com/V5ygVuPefi,2018-02-25 15:50:31,[''],[''],,1,4,967909706223075328,https://twitter.com/yungjaqk/status/967909706223075328
cubicle_chic,I think it’s gonna die in the same grave Snapchat soon. Along with a bunch of ppl that can’t give them up... in the same grave. Lol,2018-02-25 15:50:16,[''],[''],,0,1,967909642461331457,https://twitter.com/cubicle_chic/status/967909642461331457
adellapasos,"Snapchat's controversial redesign is here to stay, CEO Evan Spiegel says http://twib.in/l/kakzdeRrB6eL  pic.twitter.com/6yimNQNzbA http://twib.in/l/A5aqKoe8eeME  via @ businesspic.twitter.com/anXbTn0Rdc",2018-02-25 15:50:06,[u'businesspic'],[''],,0,0,967909603064401923,https://twitter.com/adellapasos/status/967909603064401923
JayZito,Facebook connected us Twitter woke us Instagram gave us confidence MySpace started it all Snapchat gave us disappearing and/or unsolicited nudes and the most annoying update of all time,2018-02-25 15:49:53,[''],[''],,0,4,967909547691204610,https://twitter.com/JayZito/status/967909547691204610
Kid__Ashley,I hate # Snapchat now... change it back,2018-02-25 15:49:45,[''],['Snapchat'],,0,2,967909513092370432,https://twitter.com/Kid__Ashley/status/967909513092370432
_PrettyT,Everyday my brother posting food or some new shit on Snapchat and I’m sick of it!!!,2018-02-25 15:49:44,[''],[''],,0,0,967909508377923584,https://twitter.com/_PrettyT/status/967909508377923584
Miasutherlandx,Just love a Snapchat filter https://www.instagram.com/p/Bfou7-EBW3_G2icnyntcCe6BWWERxB0Ed-8Cs80/ …,2018-02-25 15:49:43,[''],[''],,0,0,967909504041013248,https://twitter.com/Miasutherlandx/status/967909504041013248
Djlegagneur,Snapchat is on FIRE right now as the hottest social media app for 2016!! http://bit.ly/22yd2lE # homebusiness # mlmpic.twitter.com/c1sA7K7E01,2018-02-25 15:49:27,[''],"[u'homebusiness', u'mlmpic']",,0,0,967909436600745985,https://twitter.com/Djlegagneur/status/967909436600745985
TheTieDyeMan,Why the recent @ Snapchat update so fuckin stupid?,2018-02-25 15:49:07,['Snapchat'],[''],,0,0,967909354207875073,https://twitter.com/TheTieDyeMan/status/967909354207875073
GusFtAnaah,Sdds falido @ Snapchat pic.twitter.com/3eJZPU1W9F,2018-02-25 15:48:35,['Snapchat'],[''],,0,0,967909221026103298,https://twitter.com/GusFtAnaah/status/967909221026103298
clebidievh,"Una semana después, la necesidad de tener espectadores que me explotaran diariamente la bandeja de mensajes con (falsos) halagos me llevó a crear una cuenta en Snapchat. Allí no sólo intercambié fotos (rigiéndome por un “screenshot = block”): también practiqué el sexting. pic.twitter.com/sXq3kltV9H",2018-02-25 15:48:35,[''],[''],,0,4,967909217964298241,https://twitter.com/clebidievh/status/967909217964298241
minenasachi,"Pues si !! Y yo os agradezco que los subais por aquí, pq yo no uso Snapchat y gracias a vosotras veo los snap que publica Alain ...gracias!!!!",2018-02-25 15:48:28,[''],[''],,0,3,967909188713238528,https://twitter.com/minenasachi/status/967909188713238528
Ahmad83058705,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:48:23,[''],[''],,0,0,967909171382439936,https://twitter.com/Ahmad83058705/status/967909171382439936
kidoinfinite1,I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:47:57,[''],[''],,0,0,967909060917059584,https://twitter.com/kidoinfinite1/status/967909060917059584
_steph11xx,Was Snapchat actually Lily smh,2018-02-25 15:47:48,[''],[''],,0,1,967909024544055299,https://twitter.com/_steph11xx/status/967909024544055299
mirandakortuem,My Snapchat didn’t update on my iPad! I am so happy,2018-02-25 15:47:46,[''],[''],,0,0,967909013521276928,https://twitter.com/mirandakortuem/status/967909013521276928
nondeluxe,throw back to when snap chat was actually good,2018-02-25 15:47:39,[''],[''],,0,5,967908983599190016,https://twitter.com/nondeluxe/status/967908983599190016
double_o_cece,I would even email snapchat if I needed to for my lil Debbie https://twitter.com/graberliz/status/967889223578804226 …,2018-02-25 15:47:34,[''],[''],,0,2,967908962560565248,https://twitter.com/double_o_cece/status/967908962560565248
jessicajoy_x,Right how much does this remind you of me being absolutely blottoed in subby z but as soon as u pull that camera I’m ready for your snapchat to be blessed with my drunken beauty,2018-02-25 15:47:17,[''],[''],,0,0,967908892675067904,https://twitter.com/jessicajoy_x/status/967908892675067904
LauraMonseca,"RT TheAnimalVines: Add “bestofanimals” on snapchat and send in your pets to be seen by over 700,000 people pic.twitter.com/3pPDIZGUUR",2018-02-25 15:47:13,[''],[''],,0,0,967908874308243456,https://twitter.com/LauraMonseca/status/967908874308243456
StashaaJ,"My Snapchat finally updated, and it’s really not that bad.",2018-02-25 15:46:48,[''],[''],,0,0,967908769354211330,https://twitter.com/StashaaJ/status/967908769354211330
iselamacias96,My coworkers created a group Snapchat,2018-02-25 15:46:46,[''],[''],,1,2,967908762341195777,https://twitter.com/iselamacias96/status/967908762341195777
