text,date,retweets,favorites,negative,neutral,positive,compound
"Meet new people, chat, find your soulmate, flirt! http://bit.ly/1DHPjTk # chat # webcam # snapchat # videochat # chatvideopic.twitter.com/y21WHHpBF5",2018-02-25 15:45:07,0,0,0.0,0.756,0.244,0.636
I’m actually done with snapchat absolutely fuming!!!!!!!!,2018-02-25 15:45:04,0,0,0.0,1.0,0.0,0.0
I saw all the bitching about snapchat and didn't think on it. But I actually fuck up while using snapchat all the time. I call people and send incorrect messages and do it all wrong. Probably nothing to do with the update though,2018-02-25 15:44:59,0,0,0.19,0.81,0.0,-0.8271
"@ nailogical I was SO excited when I saw ""holo"" has a snapchat filter but WHAT THE FUCK IS THIS pic.twitter.com/tvJJ9QvkiZ",2018-02-25 15:44:53,1,1,0.254,0.65,0.096,-0.6845
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:44:43,0,0,0.0,0.75,0.25,0.6514
what does the colour yellow smell like? — snapchat https://curiouscat.me/yung401k/post/336507652?1519602198 …,2018-02-25 15:44:37,0,1,0.0,0.759,0.241,0.4329
Well there is always FaceTime yes? Ummm Skype? Instagram? Snapchat? Ok I concede. Autopilot! https://twitter.com/gamayun2/status/967904052305592321 …,2018-02-25 15:44:25,0,1,0.0,0.571,0.429,0.8048
"I can't stand those thots on Snapchat , they always say "" hmu "" with a gif of them playin with they hair . And they always hate school and shit .",2018-02-25 15:44:19,0,0,0.241,0.759,0.0,-0.8074
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:44:12,0,0,0.0,0.75,0.25,0.6514
El tuit de Kylie Jenner que provocó un derrumbe de las acciones de Snapchat http://cnn.it/2EN5BHn pic.twitter.com/UeOS3Ejyko,2018-02-25 15:44:00,22,93,0.0,1.0,0.0,0.0
I really don’t understand why some people hit me up on Snapchat when they have my number! Just doesn’t make sense to me,2018-02-25 15:43:55,0,0,0.0,0.93,0.07,0.1511
folk still using snapchat?,2018-02-25 15:43:53,0,1,0.0,1.0,0.0,0.0
Watching The Walking Dead marathon. I'm not gonna be on fb or snapchat for a while need to get my head together. Only here for TWD fan points,2018-02-25 15:43:51,0,0,0.136,0.791,0.073,-0.4588
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:43:49,0,0,0.0,0.75,0.25,0.6514
Everyone has me fucced up on snapchat rn,2018-02-25 15:43:36,0,3,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:43:34,0,0,0.0,0.75,0.25,0.6514
When you updated your snap chat like 2months ago so you don't get why everyone's freaking out about it..?,2018-02-25 15:43:31,0,0,0.126,0.762,0.112,-0.0772
i wanna post the cut on my face on snapchat so bad but my lips crusty af,2018-02-25 15:43:15,0,0,0.235,0.765,0.0,-0.5099
Que lástima que Snapchat no lo petara,2018-02-25 15:43:01,0,0,0.268,0.732,0.0,-0.296
"Yes, Snapchat name is: RealProHenis",2018-02-25 15:42:46,0,0,0.0,0.597,0.403,0.4019
"Twitter, Snapchat, and Facebook all need work. @ SanjoyM @ kellyeyoon # MGMT171https://seekingalpha.com/article/4150423-twitter-snap-facebook-three-thoughts-social-media-investors …",2018-02-25 15:42:28,0,0,0.0,1.0,0.0,0.0
"First twitter got rid of favoriting tweets, then instagram said fuck chronological order and now snapchat is all sorts of fucked. Im about to make a myspace.",2018-02-25 15:42:26,0,1,0.248,0.752,0.0,-0.836
If I see one more person on my snapchat eating freakin crawfish i will scream in the middle of the mall.,2018-02-25 15:42:22,1,5,0.13,0.87,0.0,-0.4019
Making a new Snapchat and losing all your contacts is so depressing,2018-02-25 15:42:07,0,0,0.399,0.601,0.0,-0.7155
@ Snapchat GO BACK TO THE OLD SNAPCHAT OMFG,2018-02-25 15:42:07,0,0,0.0,1.0,0.0,0.0
"@ Snapchat we still hate the update. When can we get the old one back? Or better yet, you want us to leave you for IG?",2018-02-25 15:41:51,0,0,0.173,0.689,0.138,-0.264
Seeing that one notification from Snapchat that “........is typing” ruins my mood. Like why you still popping up you annoying bastard.,2018-02-25 15:41:34,0,3,0.318,0.594,0.087,-0.765
"The other night, @ TildaJo14 and I lost our lengthy snap streak due to bogus internet issues. Last night, I emailed them and they actually restored our streak. Thanks @ Snapchat !",2018-02-25 15:41:12,2,1,0.072,0.753,0.175,0.5093
Lemme tell you. Snapchat trifling AS HELL. pic.twitter.com/TIuXj7gHrN,2018-02-25 15:40:50,8,35,0.432,0.568,0.0,-0.7456
Add me on Snapchat! Username: soff59 https://www.snapchat.com/add/soff59,2018-02-25 15:40:26,0,0,0.0,1.0,0.0,0.0
"Snapchat responde a los 1,2 millones de quejas contra su nuevo diseño: no hay vuelta atrás https://es.gizmodo.com/snapchat-responde-a-los-1-2-millones-de-quejas-contra-s-1823309116 …",2018-02-25 15:40:22,0,0,0.128,0.872,0.0,-0.296
Have you seen his snapchat,2018-02-25 15:40:17,0,0,0.0,1.0,0.0,0.0
"Ya mas obvio no pude ser, gracias a dios use snapchat",2018-02-25 15:40:15,0,0,0.196,0.804,0.0,-0.296
I Just Know She Got A Premium Snapchat https://twitter.com/barcroft_tv/status/967062467431092225 …,2018-02-25 15:40:10,0,0,0.0,1.0,0.0,0.0
That's true but I have to keep Snapchat streaks!!,2018-02-25 15:40:09,0,0,0.0,0.738,0.262,0.3578
snapchat filter selfies for y'all pic.twitter.com/YxZoR7pD2H,2018-02-25 15:40:09,2,17,0.0,1.0,0.0,0.0
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:40:07,0,0,0.0,0.75,0.25,0.6514
I'm using Snap + for Snapchat to add new features to Snapchat for FREE! http://beta.unlimapps.com/share/com.abcapps.snapplus/ …,2018-02-25 15:40:05,0,0,0.0,0.75,0.25,0.6514
How to Configure Bitmoji and Snapchat http://bit.ly/2oqD7cc pic.twitter.com/MWhlTZQzFC,2018-02-25 15:40:04,0,0,0.0,1.0,0.0,0.0
REDES: Instagram: valeria_martinez_cano Snapchat: valeryamartine1 Musically: @valeriamartinez781 FOLLOW ME,2018-02-25 15:40:01,0,2,0.0,1.0,0.0,0.0
Which rapper is going to reference Kylie Jenner and Snapchat stock first?,2018-02-25 15:39:52,0,0,0.0,1.0,0.0,0.0
When you go through all the Snapchat filters and you still ugly. pic.twitter.com/X85V9D2Qfd,2018-02-25 15:39:51,0,3,0.216,0.784,0.0,-0.5106
Add me on Snapchat! Username: a_sue217 https://www.snapchat.com/add/a_sue217,2018-02-25 15:39:47,0,0,0.0,1.0,0.0,0.0
"Oh yea in case I haven’t said it lately , FUCK YOU @ Snapchat",2018-02-25 15:39:35,4,5,0.297,0.703,0.0,-0.6408
add my snapchat? garrilee1234 # # twitterfriends,2018-02-25 15:39:34,0,0,0.0,1.0,0.0,0.0
I’ve just got out of bed to take a picture of someone’s snapchat story on my laptops webcam rather than screenshotting it wow rly outdone myself here can I die now X,2018-02-25 15:39:33,0,0,0.112,0.778,0.11,-0.0258
Snapchat passa a oferecer integração com GIPHY e prepara mais novidades http://ift.tt/2BS0F1f,2018-02-25 15:39:16,0,0,0.0,1.0,0.0,0.0
"Snapchat responde a los 1,2 millones de quejas contra su nuevo diseño: no hay vuelta atrás https://es.gizmodo.com/snapchat-responde-a-los-1-2-millones-de-quejas-contra-s-1823309116 …",2018-02-25 15:39:15,0,0,0.128,0.872,0.0,-0.296
Je pense que je vais delete snapchat !,2018-02-25 15:39:15,1,0,0.0,1.0,0.0,0.0
Gotta love the Snapchat filters pic.twitter.com/11SjGJsc7s,2018-02-25 15:39:14,0,5,0.0,0.543,0.457,0.6369
Someone asked for my number on Snapchat. I told them I don’t have a phone,2018-02-25 15:39:07,1,27,0.0,0.894,0.106,0.0772
"Kfc ran out of chicken, the whole ksi boxing stuff and all the beef goin on around it with jake paul, snapchat layout turned to shite, school shooting with reply to allow teachers to carry guns",2018-02-25 15:38:58,0,0,0.0,0.949,0.051,0.2263
Soooo are they really just not going to change Snapchat back to the way it was?,2018-02-25 15:38:50,1,3,0.0,1.0,0.0,0.0
lmao when i casually go onto my friends snapchat story from last night and she has a video of her dancing with shawn HAHAHA what a small world this is,2018-02-25 15:38:44,0,3,0.0,0.638,0.362,0.9191
@ Darkocttg tes trop drole .cest tres grave stp sui moi sur Snapchat,2018-02-25 15:38:31,0,1,0.191,0.809,0.0,-0.3818
Beautiful pic gaby! You got Snapchat?,2018-02-25 15:38:29,0,0,0.0,0.544,0.456,0.636
