username,text,date,mentions,hashtags,geo,retweets,favorites,id,permalink
Williamgport,@ AirCanada you don’t offer drinks to business class passengers before take off. What the fuck? @ Delta @ AmericanAir @ united @ jetbrains Do. Why are you guys absolut flying birdbrains? # dontflyaircanada,2018-02-01 17:07:14,"[u'AirCanada', u'Delta', u'AmericanAir', u'united', u'jetbrains']",[u'dontflyaircanada'],,0,0,959231705600184320,https://twitter.com/Williamgport/status/959231705600184320
Frees_2018,"Scientific name: Hirundinidae. An unladen swallow can fly at about 10 meters/ second. It is 384,400 kilometers to the moon,so it would take the swallow 1 year,2 months,18 days,18 hours,59 minutes & 46 seconds to get there. Speed: 18.64 mph (30 km/h).",2018-02-01 17:06:31,[''],[''],,0,0,959231524049702912,https://twitter.com/Frees_2018/status/959231524049702912
Cheryl_Searle,Good luck to your sister and all of # TeamUSA! So glad @ united helped you all! THAT is what it’s all about!! @ weareunited # BeingUnited # UnitedProudhttps://twitter.com/bradie_tennell/status/958885661154652161 …,2018-02-01 17:05:23,"[u'united', u'weareunited']","[u'TeamUSA', u'BeingUnited', u'UnitedProudhttps']",,0,9,959231239172521984,https://twitter.com/Cheryl_Searle/status/959231239172521984
united,"Stay tuned for our fleet changes in the coming years, Dave. Many more Dreamliners to come. We can't wait. ^AD",2018-02-01 17:05:16,[''],[''],,0,0,959231210416349185,https://twitter.com/united/status/959231210416349185
lukebelliveau,if you decide to spend a flight delay talking loudly on the phone u can gth like I'm really annoying online but nobody *has* to follow me i have to sit next to this pompous idiot for god knows how long and my only possible savior is United Airlines,2018-02-01 17:05:12,[''],[''],,0,0,959231192196435968,https://twitter.com/lukebelliveau/status/959231192196435968
AgilePHL,I’d take that over the @ united treatment. At least you get to keep all your teeth,2018-02-01 17:04:54,[u'united'],[''],,0,0,959231118536007681,https://twitter.com/AgilePHL/status/959231118536007681
GlenKorstrom,United Airlines updates emotional-support animal policy after peacock incident https://www.washingtonpost.com/news/animalia/wp/2018/01/30/a-woman-tried-to-board-a-plane-with-her-emotional-support-peacock-united-wouldnt-let-it-fly/?utm_term=.7702ea0c90ff … # travel # aviationpic.twitter.com/1Nzf08o5Rk,2018-02-01 17:03:41,[''],"[u'travel', u'aviationpic']",,0,1,959230810703380481,https://twitter.com/GlenKorstrom/status/959230810703380481
lafah_b,"# UnitedAirlines when are you going to prohibit passengers bringing pizza and other smelly food onboard to eat? Get to the airport early and eat before boarding. Guy in front of - pizza, guy across aisle with a cup of chowder",2018-02-01 17:03:34,[''],['UnitedAirlines'],,0,1,959230781104074752,https://twitter.com/lafah_b/status/959230781104074752
CassiusCCIDog,"@ united new documentation requirements apply to emotional support animals, not # servicedogs, right? Flying in April and want to make sure we’re ok. # giveadogajob",2018-02-01 17:02:46,[u'united'],"[u'servicedogs', u'giveadogajob']",,0,0,959230577881726976,https://twitter.com/CassiusCCIDog/status/959230577881726976
XHTanhoaxa,"Một phụ nữ bị hãng hàng không United Airlines từ chối cho lên máy bay vì mang theo một con công đi cùng để trợ giúp cảm xúc trong chuyến bay ở sân bay New Jersey, Mỹ. Hãng hàng không cho biết, con công không đáp ứng được nguyên tắc về trọng lượng và kích cỡ pic.twitter.com/swkn1Fes3A",2018-02-01 17:02:36,[''],[''],,0,3,959230536731340802,https://twitter.com/XHTanhoaxa/status/959230536731340802
HeyitsmeRC515,United Airlines is changing their policy on emotional support animals; I’m getting an ostrich! pic.twitter.com/kzCGb1bb4Q,2018-02-01 17:02:25,[''],[''],,0,0,959230489876889602,https://twitter.com/HeyitsmeRC515/status/959230489876889602
dave_787,Please spell Stansted correctly! It's not Stanstead. Now maybe @ united will go all-787 to LHR....?,2018-02-01 17:02:21,['united'],[''],,0,0,959230473435336704,https://twitter.com/dave_787/status/959230473435336704
recovengineer,What a Diverted United Airlines Flight Can Teach You About Conflict Resolution: http://bit.ly/1KAudsY,2018-02-01 17:02:00,[''],[''],,0,0,959230387783430144,https://twitter.com/recovengineer/status/959230387783430144
MiddleSeatView,"I love this news! Thank you @ AmericanAir, @ Delta, @ united, @ JetBlue, @ AlaskaAir, @ HawaiianAir, @ FlyFrontier, @ SpiritAirlines & @ SouthwestAir! I can't wait to see my favorite DC museum revolutionized.https://www.washingtonpost.com/entertainment/museums/nine-airlines-donate-28-million-to-air-and-space-museum-for-makeover/2018/01/30/3d5262c6-0526-11e8-b48c-b07fea957bd5_story.html?utm_term=.b676a288b460 …",2018-02-01 17:00:33,"[u'AmericanAir', u'Delta', u'united', u'JetBlue', u'AlaskaAir', u'HawaiianAir', u'FlyFrontier', u'SpiritAirlines', u'SouthwestAir']",[''],,4,15,959230022602166275,https://twitter.com/MiddleSeatView/status/959230022602166275
wearehpr,United Airlines is changing its policy on comfort animals after a woman tried to travel with her peacock. http://n.pr/2rXWKMR,2018-02-01 17:00:01,[''],[''],,1,1,959229885981057025,https://twitter.com/wearehpr/status/959229885981057025
ArcherTeucer,You’d think that by now I wouldn’t be surprised by how much @ united sucks,2018-02-01 16:59:55,[u'united'],[''],,0,0,959229864065708032,https://twitter.com/ArcherTeucer/status/959229864065708032
rpmcb,@ united when can I expect to be able to access my beverage vouchers and my 2 club passes in the United app on iPhone?,2018-02-01 16:59:28,['united'],[''],,0,0,959229750270156801,https://twitter.com/rpmcb/status/959229750270156801
MichaelFabiano,So excited for this!!! Are you? @ delta @ AmericanAir @ united @ JetBlue @ FlyFrontier @ HawaiianAir @ SpiritAirlines # pilotfabiano # ThursdayThoughts @ washingtonpost @ PeggyMcGlone https://www.washingtonpost.com/entertainment/museums/nine-airlines-donate-28-million-to-air-and-space-museum-for-makeover/2018/01/30/3d5262c6-0526-11e8-b48c-b07fea957bd5_story.html?utm_term=.16fc33b0fb16 …,2018-02-01 16:59:16,"[u'delta', u'AmericanAir', u'united', u'JetBlue', u'FlyFrontier', u'HawaiianAir', u'SpiritAirlines', u'washingtonpost', u'PeggyMcGlone']","[u'pilotfabiano', u'ThursdayThoughts']",,0,4,959229700936814597,https://twitter.com/MichaelFabiano/status/959229700936814597
servicedogfp,@ United alters rules for emotional support animals on flights http://www.dailyherald.com/news/20180201/united-airlines-tightens-emotional-support-animal-policy … via @ dailyherald,2018-02-01 16:57:20,"[u'United', u'dailyherald']",[''],,0,0,959229210912010242,https://twitter.com/servicedogfp/status/959229210912010242
SupplyChainLisa,"The ""comfort"" pit bull in the seat in front of me from CVG to LAX did not comfort me---No birds allowed: Why United Airlines has got into a flap over a peacock https://www.economist.com/blogs/gulliver/2018/02/no-birds-allowed … via @ TheEconomist",2018-02-01 16:56:33,[u'TheEconomist'],[''],,0,0,959229016417996800,https://twitter.com/SupplyChainLisa/status/959229016417996800
josiethewonder,Working tonight in Terminal C @ iah @ weareunited @ united pic.twitter.com/E8WOqFUkji,2018-02-01 16:55:44,"['iah', 'weareunited', 'united']",[''],,0,5,959228810397978626,https://twitter.com/josiethewonder/status/959228810397978626
cafunkhouser,4 hour delay on @ united. Awesome.,2018-02-01 16:54:53,['united'],[''],,0,0,959228596228427777,https://twitter.com/cafunkhouser/status/959228596228427777
ItsBreDanielle,Due to air traffic issues in to SFO my flight out of BWI was delayed 50 minutes causing me to land 10 minutes before my connecting flight. Is there anything I can do @ united?,2018-02-01 16:53:56,['united'],[''],,0,0,959228357798912001,https://twitter.com/ItsBreDanielle/status/959228357798912001
npa222,Good for @ united https://twitter.com/CBSEveningNews/status/959227370464006144 …,2018-02-01 16:53:10,[u'united'],[''],,0,0,959228164991012864,https://twitter.com/npa222/status/959228164991012864
VRWCTexan,# UhOh @ RepAdamSchiff remains grounded by United Airlines. https://twitter.com/washingtonpost/status/959226174483333121 …,2018-02-01 16:53:06,[u'RepAdamSchiff'],[u'UhOh'],,0,3,959228146678722561,https://twitter.com/VRWCTexan/status/959228146678722561
ScottKingMedia,Emotional support Yak.,2018-02-01 16:52:14,[''],[''],,0,1,959227930093211649,https://twitter.com/ScottKingMedia/status/959227930093211649
funnydogsworld,"# dog Following peacock fiasco, United Airlines tightens policy for comfort animals - USA TODAY http://dlvr.it/QDdlnJ pic.twitter.com/Pau4cr5fhe",2018-02-01 16:52:06,[''],[u'dog'],,1,1,959227893766213632,https://twitter.com/funnydogsworld/status/959227893766213632
united,"Love this, Luke. ^AD",2018-02-01 16:51:32,[''],[''],,0,4,959227751193501697,https://twitter.com/united/status/959227751193501697
CBSEveningNews,United Airlines changes policy on comfort animals after peacock incident http://cbsn.ws/2nto694 pic.twitter.com/VcNXgGl11Z,2018-02-01 16:50:01,[''],[''],,9,11,959227370464006144,https://twitter.com/CBSEveningNews/status/959227370464006144
